   #Energy      xx(%)           yy(%)
   2.553      0.9405E+02      0.9445E+02
   2.561      0.9395E+02      0.9441E+02
   2.569      0.9385E+02      0.9437E+02
   2.577      0.9375E+02      0.9432E+02
   2.585      0.9366E+02      0.9428E+02
   2.593      0.9356E+02      0.9425E+02
   2.601      0.9346E+02      0.9421E+02
   2.608      0.9336E+02      0.9417E+02
   2.616      0.9326E+02      0.9413E+02
   2.624      0.9316E+02      0.9410E+02
   2.632      0.9306E+02      0.9406E+02
   2.640      0.9296E+02      0.9403E+02
   2.648      0.9287E+02      0.9399E+02
   2.656      0.9277E+02      0.9396E+02
   2.664      0.9267E+02      0.9393E+02
   2.672      0.9257E+02      0.9390E+02
   2.680      0.9248E+02      0.9387E+02
   2.688      0.9238E+02      0.9384E+02
   2.695      0.9228E+02      0.9381E+02
   2.703      0.9219E+02      0.9378E+02
   2.711      0.9209E+02      0.9375E+02
   2.719      0.9199E+02      0.9373E+02
   2.727      0.9190E+02      0.9370E+02
   2.735      0.9180E+02      0.9367E+02
   2.743      0.9170E+02      0.9365E+02
   2.751      0.9161E+02      0.9362E+02
   2.759      0.9151E+02      0.9360E+02
   2.767      0.9142E+02      0.9358E+02
   2.775      0.9132E+02      0.9355E+02
   2.782      0.9123E+02      0.9353E+02
   2.790      0.9113E+02      0.9351E+02
   2.798      0.9104E+02      0.9349E+02
   2.806      0.9094E+02      0.9347E+02
   2.814      0.9085E+02      0.9345E+02
   2.822      0.9076E+02      0.9343E+02
   2.830      0.9066E+02      0.9341E+02
   2.838      0.9057E+02      0.9339E+02
   2.846      0.9048E+02      0.9337E+02
   2.853      0.9039E+02      0.9336E+02
   2.861      0.9030E+02      0.9334E+02
   2.869      0.9020E+02      0.9332E+02
   2.877      0.9011E+02      0.9330E+02
   2.885      0.9002E+02      0.9329E+02
   2.893      0.8994E+02      0.9327E+02
   2.901      0.8985E+02      0.9325E+02
   2.909      0.8976E+02      0.9324E+02
   2.917      0.8967E+02      0.9322E+02
   2.925      0.8958E+02      0.9320E+02
   2.933      0.8950E+02      0.9319E+02
   2.941      0.8941E+02      0.9317E+02
   2.948      0.8933E+02      0.9315E+02
   2.956      0.8924E+02      0.9313E+02
   2.964      0.8916E+02      0.9312E+02
   2.972      0.8907E+02      0.9310E+02
   2.980      0.8899E+02      0.9308E+02
   2.988      0.8890E+02      0.9306E+02
   2.996      0.8882E+02      0.9304E+02
   3.004      0.8873E+02      0.9302E+02
   3.012      0.8865E+02      0.9299E+02
   3.019      0.8857E+02      0.9297E+02
   3.027      0.8848E+02      0.9294E+02
   3.035      0.8840E+02      0.9292E+02
   3.043      0.8831E+02      0.9289E+02
   3.051      0.8823E+02      0.9286E+02
   3.059      0.8814E+02      0.9283E+02
