   #Energy      xx(%)           yy(%)
   4.134      0.8325E+01      0.8325E+01
   4.152      0.8195E+01      0.8195E+01
   4.170      0.8052E+01      0.8052E+01
   4.189      0.7900E+01      0.7900E+01
   4.207      0.7741E+01      0.7741E+01
   4.225      0.7575E+01      0.7575E+01
   4.243      0.7406E+01      0.7406E+01
   4.262      0.7235E+01      0.7235E+01
   4.280      0.7064E+01      0.7064E+01
   4.298      0.6894E+01      0.6894E+01
   4.317      0.6726E+01      0.6726E+01
   4.335      0.6561E+01      0.6561E+01
   4.353      0.6401E+01      0.6401E+01
   4.372      0.6244E+01      0.6244E+01
   4.390      0.6093E+01      0.6093E+01
   4.408      0.5947E+01      0.5947E+01
   4.426      0.5806E+01      0.5806E+01
   4.445      0.5670E+01      0.5670E+01
   4.463      0.5539E+01      0.5539E+01
   4.481      0.5414E+01      0.5414E+01
   4.500      0.5293E+01      0.5293E+01
   4.518      0.5177E+01      0.5177E+01
   4.536      0.5066E+01      0.5066E+01
   4.554      0.4959E+01      0.4959E+01
   4.573      0.4855E+01      0.4855E+01
   4.591      0.4756E+01      0.4756E+01
   4.609      0.4660E+01      0.4660E+01
   4.628      0.4567E+01      0.4567E+01
   4.646      0.4477E+01      0.4477E+01
   4.664      0.4391E+01      0.4391E+01
   4.682      0.4307E+01      0.4307E+01
   4.701      0.4226E+01      0.4226E+01
   4.719      0.4148E+01      0.4148E+01
   4.737      0.4072E+01      0.4072E+01
   4.756      0.3998E+01      0.3998E+01
   4.774      0.3927E+01      0.3927E+01
   4.792      0.3858E+01      0.3858E+01
   4.811      0.3790E+01      0.3790E+01
   4.829      0.3725E+01      0.3725E+01
   4.847      0.3661E+01      0.3661E+01
   4.865      0.3600E+01      0.3600E+01
   4.884      0.3539E+01      0.3539E+01
   4.902      0.3481E+01      0.3481E+01
   4.920      0.3424E+01      0.3424E+01
   4.939      0.3368E+01      0.3368E+01
   4.957      0.3314E+01      0.3314E+01
   4.975      0.3261E+01      0.3261E+01
   4.993      0.3209E+01      0.3209E+01
   5.012      0.3159E+01      0.3159E+01
   5.030      0.3110E+01      0.3110E+01
   5.048      0.3062E+01      0.3062E+01
   5.066      0.3016E+01      0.3016E+01
   5.085      0.2970E+01      0.2970E+01
   5.103      0.2925E+01      0.2925E+01
   5.121      0.2882E+01      0.2882E+01
   5.140      0.2840E+01      0.2840E+01
   5.158      0.2798E+01      0.2798E+01
   5.176      0.2757E+01      0.2757E+01
   5.195      0.2718E+01      0.2718E+01
   5.213      0.2679E+01      0.2679E+01
   5.231      0.2640E+01      0.2640E+01
   5.249      0.2603E+01      0.2603E+01
   5.268      0.2566E+01      0.2566E+01
   5.286      0.2530E+01      0.2530E+01
   5.304      0.2495E+01      0.2495E+01
   5.323      0.2461E+01      0.2461E+01
   5.341      0.2427E+01      0.2427E+01
   5.359      0.2394E+01      0.2394E+01
   5.378      0.2362E+01      0.2362E+01
   5.396      0.2330E+01      0.2330E+01
   5.414      0.2299E+01      0.2299E+01
   5.432      0.2269E+01      0.2269E+01
   5.451      0.2239E+01      0.2239E+01
   5.469      0.2210E+01      0.2210E+01
   5.487      0.2181E+01      0.2181E+01
   5.505      0.2153E+01      0.2153E+01
   5.524      0.2125E+01      0.2125E+01
   5.542      0.2098E+01      0.2098E+01
   5.560      0.2071E+01      0.2071E+01
   5.579      0.2045E+01      0.2045E+01
   5.597      0.2019E+01      0.2019E+01
   5.615      0.1994E+01      0.1994E+01
   5.633      0.1969E+01      0.1969E+01
   5.652      0.1944E+01      0.1944E+01
   5.670      0.1921E+01      0.1921E+01
   5.688      0.1897E+01      0.1897E+01
   5.707      0.1874E+01      0.1874E+01
   5.725      0.1852E+01      0.1852E+01
   5.743      0.1830E+01      0.1830E+01
   5.762      0.1808E+01      0.1808E+01
   5.780      0.1786E+01      0.1786E+01
   5.798      0.1765E+01      0.1765E+01
   5.816      0.1744E+01      0.1744E+01
   5.835      0.1724E+01      0.1724E+01
   5.853      0.1704E+01      0.1704E+01
   5.871      0.1684E+01      0.1684E+01
   5.890      0.1664E+01      0.1664E+01
   5.908      0.1645E+01      0.1645E+01
   5.926      0.1626E+01      0.1626E+01
   5.944      0.1608E+01      0.1608E+01
   5.963      0.1590E+01      0.1590E+01
   5.981      0.1572E+01      0.1572E+01
   5.999      0.1554E+01      0.1554E+01
   6.018      0.1537E+01      0.1537E+01
   6.036      0.1520E+01      0.1520E+01
   6.054      0.1503E+01      0.1503E+01
   6.072      0.1487E+01      0.1487E+01
   6.091      0.1471E+01      0.1471E+01
   6.109      0.1454E+01      0.1454E+01
   6.127      0.1439E+01      0.1439E+01
