#Thickness(um)           XX(%)           YY(%)           ZZ(%)      Average(%)
     1.89000         31.4141         31.4141         31.4141         31.4141
     1.90000         31.4152         31.4152         31.4152         31.4152
     1.91000         31.4164         31.4164         31.4164         31.4164
     1.92000         31.4175         31.4175         31.4175         31.4175
     1.93000         31.4185         31.4185         31.4185         31.4185
     1.94000         31.4196         31.4196         31.4196         31.4196
     1.95000         31.4206         31.4206         31.4206         31.4206
     1.96000         31.4215         31.4215         31.4215         31.4215
     1.97000         31.4225         31.4225         31.4225         31.4225
     1.98000         31.4234         31.4234         31.4234         31.4234
     1.99000         31.4243         31.4243         31.4243         31.4243
     2.00000         31.4252         31.4252         31.4252         31.4252
     2.01000         31.4260         31.4260         31.4260         31.4260
     2.02000         31.4268         31.4268         31.4268         31.4268
     2.03000         31.4276         31.4276         31.4276         31.4276
     2.04000         31.4284         31.4284         31.4284         31.4284
     2.05000         31.4292         31.4292         31.4292         31.4292
     2.06000         31.4299         31.4299         31.4299         31.4299
     2.07000         31.4306         31.4306         31.4306         31.4306
     2.08000         31.4313         31.4313         31.4313         31.4313
     2.09000         31.4320         31.4320         31.4320         31.4320
     2.10000         31.4326         31.4326         31.4326         31.4326
     2.11000         31.4332         31.4332         31.4332         31.4332
     2.12000         31.4338         31.4338         31.4338         31.4338
     2.13000         31.4344         31.4344         31.4344         31.4344
     2.14000         31.4350         31.4350         31.4350         31.4350
     2.15000         31.4356         31.4356         31.4356         31.4356
     2.16000         31.4361         31.4361         31.4361         31.4361
     2.17000         31.4367         31.4367         31.4367         31.4367
     2.18000         31.4372         31.4372         31.4372         31.4372
     2.19000         31.4377         31.4377         31.4377         31.4377
     2.20000         31.4382         31.4382         31.4382         31.4382
     2.21000         31.4386         31.4386         31.4386         31.4386
     2.22000         31.4391         31.4391         31.4391         31.4391
     2.23000         31.4395         31.4395         31.4395         31.4395
     2.24000         31.4400         31.4400         31.4400         31.4400
     2.25000         31.4404         31.4404         31.4404         31.4404
     2.26000         31.4408         31.4408         31.4408         31.4408
     2.27000         31.4412         31.4412         31.4412         31.4412
     2.28000         31.4416         31.4416         31.4416         31.4416
     2.29000         31.4420         31.4420         31.4420         31.4420
     2.30000         31.4423         31.4423         31.4423         31.4423
     2.31000         31.4427         31.4427         31.4427         31.4427
     2.32000         31.4430         31.4430         31.4430         31.4430
     2.33000         31.4433         31.4433         31.4433         31.4433
     2.34000         31.4437         31.4437         31.4437         31.4437
     2.35000         31.4440         31.4440         31.4440         31.4440
     2.36000         31.4443         31.4443         31.4443         31.4443
     2.37000         31.4446         31.4446         31.4446         31.4446
     2.38000         31.4449         31.4449         31.4449         31.4449
     2.39000         31.4452         31.4452         31.4452         31.4452
     2.40000         31.4454         31.4454         31.4454         31.4454
     2.41000         31.4457         31.4457         31.4457         31.4457
     2.42000         31.4460         31.4460         31.4460         31.4460
     2.43000         31.4462         31.4462         31.4462         31.4462
     2.44000         31.4464         31.4464         31.4464         31.4464
     2.45000         31.4467         31.4467         31.4467         31.4467
     2.46000         31.4469         31.4469         31.4469         31.4469
     2.47000         31.4471         31.4471         31.4471         31.4471
     2.48000         31.4474         31.4474         31.4474         31.4474
     2.49000         31.4476         31.4476         31.4476         31.4476
     2.50000         31.4478         31.4478         31.4478         31.4478
     2.51000         31.4480         31.4480         31.4480         31.4480
     2.52000         31.4482         31.4482         31.4482         31.4482
     2.53000         31.4484         31.4484         31.4484         31.4484
     2.54000         31.4485         31.4485         31.4485         31.4485
     2.55000         31.4487         31.4487         31.4487         31.4487
     2.56000         31.4489         31.4489         31.4489         31.4489
     2.57000         31.4491         31.4491         31.4491         31.4491
     2.58000         31.4492         31.4492         31.4492         31.4492
     2.59000         31.4494         31.4494         31.4494         31.4494
     2.60000         31.4495         31.4495         31.4495         31.4495
     2.61000         31.4497         31.4497         31.4497         31.4497
     2.62000         31.4498         31.4498         31.4498         31.4498
     2.63000         31.4500         31.4500         31.4500         31.4500
     2.64000         31.4501         31.4501         31.4501         31.4501
     2.65000         31.4502         31.4502         31.4502         31.4502
     2.66000         31.4504         31.4504         31.4504         31.4504
     2.67000         31.4505         31.4505         31.4505         31.4505
     2.68000         31.4506         31.4506         31.4506         31.4506
     2.69000         31.4507         31.4507         31.4507         31.4507
     2.70000         31.4508         31.4508         31.4508         31.4508
     2.71000         31.4510         31.4510         31.4510         31.4510
     2.72000         31.4511         31.4511         31.4511         31.4511
     2.73000         31.4512         31.4512         31.4512         31.4512
     2.74000         31.4513         31.4513         31.4513         31.4513
     2.75000         31.4514         31.4514         31.4514         31.4514
     2.76000         31.4515         31.4515         31.4515         31.4515
     2.77000         31.4516         31.4516         31.4516         31.4516
     2.78000         31.4517         31.4517         31.4517         31.4517
     2.79000         31.4518         31.4518         31.4518         31.4518
     2.80000         31.4518         31.4518         31.4518         31.4518
     2.81000         31.4519         31.4519         31.4519         31.4519
     2.82000         31.4520         31.4520         31.4520         31.4520
     2.83000         31.4521         31.4521         31.4521         31.4521
     2.84000         31.4522         31.4522         31.4522         31.4522
     2.85000         31.4522         31.4522         31.4522         31.4522
     2.86000         31.4523         31.4523         31.4523         31.4523
     2.87000         31.4524         31.4524         31.4524         31.4524
     2.88000         31.4525         31.4525         31.4525         31.4525
     2.89000         31.4525         31.4525         31.4525         31.4525
     2.90000         31.4526         31.4526         31.4526         31.4526
     2.91000         31.4527         31.4527         31.4527         31.4527
     2.92000         31.4527         31.4527         31.4527         31.4527
     2.93000         31.4528         31.4528         31.4528         31.4528
     2.94000         31.4528         31.4528         31.4528         31.4528
     2.95000         31.4529         31.4529         31.4529         31.4529
     2.96000         31.4529         31.4529         31.4529         31.4529
     2.97000         31.4530         31.4530         31.4530         31.4530
     2.98000         31.4531         31.4531         31.4531         31.4531
     2.99000         31.4531         31.4531         31.4531         31.4531
     3.00000         31.4532         31.4532         31.4532         31.4532
     3.01000         31.4532         31.4532         31.4532         31.4532
     3.02000         31.4532         31.4532         31.4532         31.4532
     3.03000         31.4533         31.4533         31.4533         31.4533
     3.04000         31.4533         31.4533         31.4533         31.4533
     3.05000         31.4534         31.4534         31.4534         31.4534
     3.06000         31.4534         31.4534         31.4534         31.4534
     3.07000         31.4535         31.4535         31.4535         31.4535
     3.08000         31.4535         31.4535         31.4535         31.4535
     3.09000         31.4535         31.4535         31.4535         31.4535
