 #energy    xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  5.6844  0.19814610E+07  0.19814610E+07  0.19814610E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7375  0.19002838E+07  0.19002838E+07  0.19002838E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7907  0.18484103E+07  0.18484103E+07  0.18484103E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8438  0.18119284E+07  0.18119284E+07  0.18119284E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8969  0.17698920E+07  0.17698920E+07  0.17698920E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9500  0.17352174E+07  0.17352174E+07  0.17352174E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0032  0.17114970E+07  0.17114970E+07  0.17114970E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0563  0.16713934E+07  0.16713934E+07  0.16713934E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1094  0.15993877E+07  0.15993877E+07  0.15993877E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1625  0.15116056E+07  0.15116056E+07  0.15116056E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2157  0.14289640E+07  0.14289640E+07  0.14289640E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2688  0.13812024E+07  0.13812024E+07  0.13812024E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3219  0.13819779E+07  0.13819779E+07  0.13819779E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3750  0.14175142E+07  0.14175142E+07  0.14175142E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4282  0.14723515E+07  0.14723515E+07  0.14723515E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4813  0.15433701E+07  0.15433701E+07  0.15433701E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5344  0.16265191E+07  0.16265191E+07  0.16265191E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5875  0.17159850E+07  0.17159850E+07  0.17159850E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6407  0.18067797E+07  0.18067797E+07  0.18067797E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6938  0.18897393E+07  0.18897393E+07  0.18897393E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.7469  0.19402102E+07  0.19402102E+07  0.19402102E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8000  0.19602366E+07  0.19602366E+07  0.19602366E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8532  0.19773877E+07  0.19773877E+07  0.19773877E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.9063  0.19915943E+07  0.19915943E+07  0.19915943E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.9594  0.19977939E+07  0.19977939E+07  0.19977939E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0125  0.20087275E+07  0.20087275E+07  0.20087275E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0657  0.20216699E+07  0.20216699E+07  0.20216699E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1188  0.20182798E+07  0.20182798E+07  0.20182798E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1719  0.19931364E+07  0.19931364E+07  0.19931364E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.2250  0.19602831E+07  0.19602831E+07  0.19602831E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.2782  0.19393599E+07  0.19393599E+07  0.19393599E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3313  0.19326625E+07  0.19326625E+07  0.19326625E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3844  0.19258147E+07  0.19258147E+07  0.19258147E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.4375  0.19094814E+07  0.19094814E+07  0.19094814E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.4907  0.18796389E+07  0.18796389E+07  0.18796389E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5438  0.18338388E+07  0.18338388E+07  0.18338388E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5969  0.17848192E+07  0.17848192E+07  0.17848192E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.6500  0.17460430E+07  0.17460430E+07  0.17460430E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7032  0.17095234E+07  0.17095234E+07  0.17095234E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7563  0.16767645E+07  0.16767645E+07  0.16767645E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.8094  0.16659913E+07  0.16659913E+07  0.16659913E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.8625  0.16717153E+07  0.16717153E+07  0.16717153E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9157  0.16734766E+07  0.16734766E+07  0.16734766E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9688  0.16712212E+07  0.16712212E+07  0.16712212E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0219  0.16693252E+07  0.16693252E+07  0.16693252E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0750  0.16813737E+07  0.16813737E+07  0.16813737E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.1282  0.17094686E+07  0.17094686E+07  0.17094686E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.1813  0.17235875E+07  0.17235875E+07  0.17235875E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2344  0.17102168E+07  0.17102168E+07  0.17102168E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2875  0.16830886E+07  0.16830886E+07  0.16830886E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.3407  0.16561475E+07  0.16561475E+07  0.16561475E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.3938  0.16461658E+07  0.16461658E+07  0.16461658E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.4469  0.16714544E+07  0.16714544E+07  0.16714544E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.5000  0.17348194E+07  0.17348194E+07  0.17348194E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.5532  0.17995977E+07  0.17995977E+07  0.17995977E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6063  0.18263442E+07  0.18263442E+07  0.18263442E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6594  0.18212986E+07  0.18212986E+07  0.18212986E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.7125  0.18117549E+07  0.18117549E+07  0.18117549E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.7657  0.18031272E+07  0.18031272E+07  0.18031272E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8188  0.17803740E+07  0.17803740E+07  0.17803740E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8719  0.17414962E+07  0.17414962E+07  0.17414962E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.9250  0.16965388E+07  0.16965388E+07  0.16965388E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.9782  0.16470146E+07  0.16470146E+07  0.16470146E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.0313  0.15996576E+07  0.15996576E+07  0.15996576E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.0844  0.15691765E+07  0.15691765E+07  0.15691765E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.1375  0.15560352E+07  0.15560352E+07  0.15560352E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.1907  0.15424893E+07  0.15424893E+07  0.15424893E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.2438  0.15161547E+07  0.15161547E+07  0.15161547E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.2969  0.14797216E+07  0.14797216E+07  0.14797216E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.3500  0.14598460E+07  0.14598460E+07  0.14598460E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.4032  0.14877843E+07  0.14877843E+07  0.14877843E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.4563  0.15561367E+07  0.15561367E+07  0.15561367E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.5094  0.16214769E+07  0.16214769E+07  0.16214769E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.5625  0.16439571E+07  0.16439571E+07  0.16439571E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.6157  0.16340821E+07  0.16340821E+07  0.16340821E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.6688  0.16292963E+07  0.16292963E+07  0.16292963E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.7219  0.16430647E+07  0.16430647E+07  0.16430647E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.7750  0.16638547E+07  0.16638547E+07  0.16638547E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.8282  0.16750989E+07  0.16750989E+07  0.16750989E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.8813  0.16677942E+07  0.16677942E+07  0.16677942E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.9344  0.16476936E+07  0.16476936E+07  0.16476936E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  9.9875  0.16318214E+07  0.16318214E+07  0.16318214E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.0407  0.16260459E+07  0.16260459E+07  0.16260459E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.0938  0.16173521E+07  0.16173521E+07  0.16173521E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.1469  0.16062715E+07  0.16062715E+07  0.16062715E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.2000  0.16069246E+07  0.16069246E+07  0.16069246E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
