             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.136736736737E+01      0.123333713425E+21      0.123937122157E+21      0.123607209307E+21      0.123626014963E+21
     -0.136336336336E+01      0.123962843265E+21      0.124250228530E+21      0.123553401193E+21      0.123922157663E+21
     -0.135935935936E+01      0.124575857367E+21      0.124542055268E+21      0.123478287425E+21      0.124198733353E+21
     -0.135535535536E+01      0.125170784971E+21      0.124812267252E+21      0.123383966298E+21      0.124455672841E+21
     -0.135135135135E+01      0.125745581815E+21      0.125060583972E+21      0.123272244609E+21      0.124692803465E+21
     -0.134734734735E+01      0.126298077435E+21      0.125286696630E+21      0.123144542093E+21      0.124909772053E+21
     -0.134334334334E+01      0.126825950014E+21      0.125490192427E+21      0.123001870721E+21      0.125106004387E+21
     -0.133933933934E+01      0.127326740618E+21      0.125670508257E+21      0.122844889503E+21      0.125280712793E+21
     -0.133533533534E+01      0.127797910521E+21      0.125826929865E+21      0.122674022327E+21      0.125432954237E+21
     -0.133133133133E+01      0.128236936359E+21      0.125958642288E+21      0.122489616796E+21      0.125561731814E+21
     -0.132732732733E+01      0.128641430388E+21      0.126064826147E+21      0.122292116992E+21      0.125666124509E+21
     -0.132332332332E+01      0.129009268401E+21      0.126144784495E+21      0.122082222306E+21      0.125745425067E+21
     -0.131931931932E+01      0.129338706835E+21      0.126198078779E+21      0.121861007488E+21      0.125799264367E+21
     -0.131531531532E+01      0.129628473002E+21      0.126224650904E+21      0.121629985466E+21      0.125827703124E+21
     -0.131131131131E+01      0.129877817653E+21      0.126224911343E+21      0.121391103884E+21      0.125831277627E+21
     -0.130730730731E+01      0.130086525946E+21      0.126199779900E+21      0.121146677846E+21      0.125810994564E+21
     -0.130330330330E+01      0.130254890314E+21      0.126150674561E+21      0.120899273445E+21      0.125768279440E+21
     -0.129929929930E+01      0.130383655419E+21      0.126079453378E+21      0.120651566749E+21      0.125704891849E+21
     -0.129529529530E+01      0.130473950333E+21      0.125988322767E+21      0.120406208351E+21      0.125622827150E+21
     -0.129129129129E+01      0.130527225343E+21      0.125879731526E+21      0.120165722331E+21      0.125524226400E+21
     -0.128728728729E+01      0.130545209691E+21      0.125756272055E+21      0.119932459966E+21      0.125411313904E+21
     -0.128328328328E+01      0.130529901934E+21      0.125620607891E+21      0.119708614536E+21      0.125286374787E+21
     -0.127927927928E+01      0.130483596992E+21      0.125475440089E+21      0.119496287239E+21      0.125151774773E+21
     -0.127527527528E+01      0.130408944796E+21      0.125323515162E+21      0.119297580022E+21      0.125010013327E+21
     -0.127127127127E+01      0.130309026663E+21      0.125167666407E+21      0.119114682651E+21      0.124863791907E+21
     -0.126726726727E+01      0.130187429403E+21      0.125010871024E+21      0.118949921168E+21      0.124716073865E+21
     -0.126326326326E+01      0.130048295450E+21      0.124856300108E+21      0.118805742993E+21      0.124570112850E+21
     -0.125925925926E+01      0.129896330813E+21      0.124707339009E+21      0.118684628571E+21      0.124429432798E+21
     -0.125525525526E+01      0.129736760886E+21      0.124567562208E+21      0.118588937007E+21      0.124297753367E+21
     -0.125125125125E+01      0.129575235120E+21      0.124440658080E+21      0.118520709429E+21      0.124178867543E+21
     -0.124724724725E+01      0.129417692275E+21      0.124330311587E+21      0.118481464906E+21      0.124076489590E+21
     -0.124324324324E+01      0.129270205204E+21      0.124240063073E+21      0.118472026815E+21      0.123994098364E+21
     -0.123923923924E+01      0.129138825552E+21      0.124173165739E+21      0.118492411514E+21      0.123934800935E+21
     -0.123523523524E+01      0.129029444003E+21      0.124132461757E+21      0.118541797577E+21      0.123901234445E+21
     -0.123123123123E+01      0.128947672504E+21      0.124120288985E+21      0.118618576048E+21      0.123895512512E+21
