             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.121921921922E+01     -0.135396601960E+01     -0.141277041378E+01     -0.165723224568E+01     -0.147465622635E+01
     -0.121521521522E+01     -0.181123157984E+01     -0.174278481560E+01     -0.184033311553E+01     -0.179811650365E+01
     -0.121121121121E+01     -0.228433307074E+01     -0.206185581212E+01     -0.198954369015E+01     -0.211191085767E+01
     -0.120720720721E+01     -0.276355494507E+01     -0.236466614675E+01     -0.210480577264E+01     -0.241100895482E+01
     -0.120320320320E+01     -0.323868261297E+01     -0.264642505474E+01     -0.218697017694E+01     -0.269069261488E+01
     -0.119919919920E+01     -0.369934387817E+01     -0.290301481034E+01     -0.223774574449E+01     -0.294670147767E+01
     -0.119519519520E+01     -0.413540309845E+01     -0.313110997795E+01     -0.225965604735E+01     -0.317538970792E+01
     -0.119119119119E+01     -0.453736885785E+01     -0.332825609602E+01     -0.225598571317E+01     -0.337387022234E+01
     -0.118718718719E+01     -0.489677247531E+01     -0.349290050230E+01     -0.223070097330E+01     -0.354012465030E+01
     -0.118318318318E+01     -0.520647982777E+01     -0.362437506831E+01     -0.218833710574E+01     -0.367306400061E+01
     -0.117917917918E+01     -0.546091063942E+01     -0.372283668204E+01     -0.213385359624E+01     -0.377253363923E+01
     -0.117517517518E+01     -0.565615433836E+01     -0.378917565033E+01     -0.207246256765E+01     -0.383926418545E+01
     -0.117117117117E+01     -0.578998620017E+01     -0.382490478294E+01     -0.200943699821E+01     -0.387477599377E+01
     -0.116716716717E+01     -0.586179853944E+01     -0.383204258482E+01     -0.194990460325E+01     -0.388124857584E+01
     -0.116316316316E+01     -0.587246702412E+01     -0.381300198877E+01     -0.189863361555E+01     -0.386136754281E+01
     -0.115915915916E+01     -0.582417135368E+01     -0.377049074663E+01     -0.185981928973E+01     -0.381816046334E+01
     -0.115515515516E+01     -0.572018416963E+01     -0.370742151213E+01     -0.183688392463E+01     -0.375482986880E+01
     -0.115115115115E+01     -0.556463539269E+01     -0.362682121384E+01     -0.183230637907E+01     -0.367458766187E+01
     -0.114714714715E+01     -0.536225489536E+01     -0.353172427377E+01     -0.184749744831E+01     -0.358049220582E+01
     -0.114314314314E+01     -0.511809709213E+01     -0.342503590655E+01     -0.188273438324E+01     -0.347528912731E+01
     -0.113913913914E+01     -0.483725684151E+01     -0.330936110655E+01     -0.193716204756E+01     -0.336125999854E+01
     -0.113513513514E+01     -0.452459455099E+01     -0.318680961383E+01     -0.200886117988E+01     -0.324008844823E+01
     -0.113113113113E+01     -0.418449546235E+01     -0.305880206767E+01     -0.209497708847E+01     -0.311275820616E+01
     -0.112712712713E+01     -0.382068982827E+01     -0.292591196028E+01     -0.219189520400E+01     -0.297949899752E+01
     -0.112312312312E+01     -0.343615501699E+01     -0.278777785055E+01     -0.229544322860E+01     -0.283979203205E+01
     -0.111911911912E+01     -0.303310819270E+01     -0.264310982020E+01     -0.240109370561E+01     -0.269243723950E+01
     -0.111511511512E+01     -0.261308221483E+01     -0.248979601748E+01     -0.250413749227E+01     -0.253567190819E+01
     -0.111111111111E+01     -0.217706205402E+01     -0.232509430797E+01     -0.259980057683E+01     -0.236731897961E+01
     -0.110710710711E+01     -0.172564833752E+01     -0.214587612014E+01     -0.268328622864E+01     -0.218493689543E+01
     -0.110310310310E+01     -0.125921129093E+01     -0.194887919252E+01     -0.274974168821E+01     -0.198594405722E+01
     -0.109909909910E+01     -0.778003257139E+00     -0.173092582959E+01     -0.279417029313E+01     -0.176769979329E+01
     -0.109509509510E+01     -0.282210289734E+00     -0.148907372571E+01     -0.281133003131E+01     -0.152753801559E+01
     -0.109109109109E+01      0.228059497301E+00     -0.122068503076E+01     -0.279567104457E+01     -0.126276552601E+01
     -0.108708708709E+01      0.752835078707E+00     -0.923421277099E+00     -0.274136237728E+01     -0.970649525223E+00
     -0.108308308308E+01      0.129235930435E+01     -0.595190789389E+00     -0.264244106653E+01     -0.648424183856E+00
     -0.107907907908E+01      0.184714768235E+01     -0.234085415344E+00     -0.249308802801E+01     -0.293341920334E+00
     -0.107507507508E+01      0.241799837371E+01      0.161658322294E+00     -0.228800237468E+01      0.972181071085E-01
     -0.107107107107E+01      0.300593704985E+01      0.593651256722E+00     -0.202281753056E+01      0.525590258671E+00
     -0.106706706707E+01      0.361209988461E+01      0.106329314960E+01     -0.169448624445E+01      0.993635596586E+00
     -0.106306306306E+01      0.423757652158E+01      0.157167816367E+01     -0.130156148282E+01      0.150256440081E+01
     -0.105905905906E+01      0.488324667473E+01      0.211948999293E+01     -0.844316043449E+00      0.205280687474E+01
     -0.105505505506E+01      0.554964597399E+01      0.270691450660E+01     -0.324671643220E+00      0.264396294579E+01
     -0.105105105105E+01      0.623688903061E+01      0.333359151554E+01      0.254058086894E+00      0.327484621102E+01
     -0.104704704705E+01      0.694466347968E+01      0.399861611427E+01      0.887573678343E+00      0.394361775743E+01
     -0.104304304304E+01      0.767229219913E+01      0.470058798966E+01      0.157108242361E+01      0.464798753747E+01
     -0.103903903904E+01      0.841884598353E+01      0.543769713231E+01      0.229980067320E+01      0.538544792968E+01
     -0.103503503504E+01      0.918327850625E+01      0.620782804149E+01      0.306938801807E+01      0.615349818860E+01
     -0.103103103103E+01      0.996455096943E+01      0.700866215652E+01      0.387624763087E+01      0.694982025227E+01
     -0.102702702703E+01      0.107617159010E+02      0.783775979349E+01      0.471764990064E+01      0.777237519839E+01
     -0.102302302302E+01      0.115739378034E+02      0.869260811169E+01      0.559166617942E+01      0.861940403150E+01
     -0.101901901902E+01      0.124004417263E+02      0.957063005189E+01      0.649693110188E+01      0.948933429336E+01
     -0.101501501502E+01      0.132403973425E+02      0.104691594969E+02      0.743228060297E+01      0.103806124808E+02
     -0.101101101101E+01      0.140927626940E+02      0.113853978727E+02      0.839633410104E+01      0.112914982226E+02
     -0.100700700701E+01      0.149561245917E+02      0.123163742492E+02      0.938709995915E+01      0.122198662667E+02
     -0.100300300300E+01      0.158285778361E+02      0.132589322666E+02      0.104016811147E+02      0.131630637391E+02
     -0.998998998999E+00      0.167076804094E+02      0.142097618088E+02      0.114361420659E+02      0.141178614280E+02
     -0.994994994995E+00      0.175905065359E+02      0.151654821278E+02      0.124855707048E+02      0.150805197895E+02
