             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.143943943944E+01      0.205788518727E+01      0.175386835595E+01      0.131812221870E+01      0.170995858731E+01
     -0.143543543544E+01      0.192203603612E+01      0.157052434938E+01      0.110115178456E+01      0.153123739002E+01
     -0.143143143143E+01      0.181049324177E+01      0.141282044951E+01      0.915331252779E+00      0.137954831469E+01
     -0.142742742743E+01      0.171932200141E+01      0.127686925027E+01      0.756798265787E+00      0.125099650582E+01
     -0.142342342342E+01      0.164483902695E+01      0.115909469591E+01      0.621935662354E+00      0.114195646174E+01
     -0.141941941942E+01      0.158362538040E+01      0.105628615569E+01      0.507442270816E+00      0.104911793563E+01
     -0.141541541542E+01      0.153253587272E+01      0.965629264782E+00      0.410378361007E+00      0.969514499502E+00
     -0.141141141141E+01      0.148871133259E+01      0.884716393820E+00      0.328190853118E+00      0.900539526509E+00
     -0.140740740741E+01      0.144959550091E+01      0.811539140957E+00      0.258720452517E+00      0.839951698130E+00
     -0.140340340340E+01      0.141295450304E+01      0.744465739437E+00      0.200190590527E+00      0.785870277669E+00
     -0.139939939940E+01      0.137689464780E+01      0.682207428773E+00      0.151177279792E+00      0.736759785454E+00
     -0.139539539540E+01      0.133987390809E+01      0.623778843012E+00      0.110560108524E+00      0.691404286540E+00
     -0.139139139139E+01      0.130070341114E+01      0.568457456620E+00      0.774573759849E-01      0.648872747915E+00
     -0.138738738739E+01      0.125853683288E+01      0.515745692358E+00      0.511519835027E-01      0.608478169580E+00
     -0.138338338338E+01      0.121284711826E+01      0.465336814486E+00      0.310178382540E-01      0.569733923666E+00
     -0.137937937938E+01      0.116339127086E+01      0.417083256895E+00      0.164577818536E-01      0.532310769871E+00
     -0.137537537538E+01      0.111016530829E+01      0.370964770802E+00      0.686244267428E-02      0.495997507256E+00
     -0.137137137137E+01      0.105335310553E+01      0.327054398132E+00      0.159492803407E-02      0.460667477233E+00
     -0.136736736737E+01      0.993274566964E+00      0.285482506606E+00      0.917930141942E-07      0.426252388454E+00
     -0.136336336336E+01      0.930339690372E+00      0.246401812499E+00      0.143121899406E-02      0.392724240622E+00
     -0.135935935936E+01      0.865014770848E+00      0.209958034268E+00      0.528333485516E-02      0.360085379990E+00
     -0.135535535536E+01      0.797804794498E+00      0.176270598862E+00      0.110220546680E-01      0.328365816009E+00
     -0.135135135135E+01      0.729252315870E+00      0.145425636663E+00      0.181997009951E-01      0.297625884509E+00
     -0.134734734735E+01      0.659948831453E+00      0.117480209703E+00      0.264549984426E-01      0.267961346533E+00
     -0.134334334334E+01      0.590551175006E+00      0.924735837397E-01      0.354973444680E-01      0.239507367738E+00
     -0.133933933934E+01      0.521793861397E+00      0.704394737273E-01      0.450801942725E-01      0.212437843132E+00
     -0.133533533534E+01      0.454489097063E+00      0.514131328824E-01      0.549700083981E-01      0.186957412781E+00
     -0.133133133133E+01      0.389509160888E+00      0.354288884232E-01      0.649176398476E-01      0.163285229719E+00
     -0.132732732733E+01      0.327750247616E+00      0.225067405017E-01      0.746383444670E-01      0.141631777528E+00
     -0.132332332332E+01      0.270081509888E+00      0.126301144753E-01      0.838050210078E-01      0.122172215124E+00
     -0.131931931932E+01      0.217286744102E+00      0.571984753843E-02      0.920568867383E-01      0.105021159460E+00
     -0.131531531532E+01      0.170008023932E+00      0.161114663080E-02      0.990226739213E-01      0.902139481615E-01
     -0.131131131131E+01      0.128700196193E+00      0.400505262522E-04      0.104354027190E+00      0.776980913034E-01
     -0.130730730731E+01      0.936027282381E-01      0.643859726030E-03      0.107761965701E+00      0.673361845552E-01
     -0.130330330330E+01      0.647316630922E-01      0.297663113899E-02      0.109048122186E+00      0.589188054725E-01
