             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.168768768769E+01      0.646947191208E+16      0.646947191208E+16      0.646947191208E+16      0.646947191208E+16
     -0.168368368368E+01      0.645865892493E+16      0.645865892493E+16      0.645865892493E+16      0.645865892493E+16
     -0.167967967968E+01      0.644638836935E+16      0.644638836935E+16      0.644638836935E+16      0.644638836935E+16
     -0.167567567568E+01      0.643221641748E+16      0.643221641748E+16      0.643221641748E+16      0.643221641748E+16
     -0.167167167167E+01      0.641579682588E+16      0.641579682588E+16      0.641579682588E+16      0.641579682588E+16
     -0.166766766767E+01      0.639691519412E+16      0.639691519412E+16      0.639691519412E+16      0.639691519412E+16
     -0.166366366366E+01      0.637550976189E+16      0.637550976189E+16      0.637550976189E+16      0.637550976189E+16
     -0.165965965966E+01      0.635167487967E+16      0.635167487967E+16      0.635167487967E+16      0.635167487967E+16
     -0.165565565566E+01      0.632564535182E+16      0.632564535182E+16      0.632564535182E+16      0.632564535182E+16
     -0.165165165165E+01      0.629776326835E+16      0.629776326835E+16      0.629776326835E+16      0.629776326835E+16
     -0.164764764765E+01      0.626843299460E+16      0.626843299460E+16      0.626843299460E+16      0.626843299460E+16
     -0.164364364364E+01      0.623807330599E+16      0.623807330599E+16      0.623807330599E+16      0.623807330599E+16
     -0.163963963964E+01      0.620707680583E+16      0.620707680583E+16      0.620707680583E+16      0.620707680583E+16
     -0.163563563564E+01      0.617578497190E+16      0.617578497190E+16      0.617578497190E+16      0.617578497190E+16
     -0.163163163163E+01      0.614448277356E+16      0.614448277356E+16      0.614448277356E+16      0.614448277356E+16
     -0.162762762763E+01      0.611341115576E+16      0.611341115576E+16      0.611341115576E+16      0.611341115576E+16
     -0.162362362362E+01      0.608279065988E+16      0.608279065988E+16      0.608279065988E+16      0.608279065988E+16
     -0.161961961962E+01      0.605284663675E+16      0.605284663675E+16      0.605284663675E+16      0.605284663675E+16
     -0.161561561562E+01      0.602382664179E+16      0.602382664179E+16      0.602382664179E+16      0.602382664179E+16
     -0.161161161161E+01      0.599600338362E+16      0.599600338362E+16      0.599600338362E+16      0.599600338362E+16
     -0.160760760761E+01      0.596966094133E+16      0.596966094133E+16      0.596966094133E+16      0.596966094133E+16
     -0.160360360360E+01      0.594506650940E+16      0.594506650940E+16      0.594506650940E+16      0.594506650940E+16
     -0.159959959960E+01      0.592243351517E+16      0.592243351517E+16      0.592243351517E+16      0.592243351517E+16
     -0.159559559560E+01      0.590188390034E+16      0.590188390034E+16      0.590188390034E+16      0.590188390034E+16
     -0.159159159159E+01      0.588341748676E+16      0.588341748676E+16      0.588341748676E+16      0.588341748676E+16
     -0.158758758759E+01      0.586689484862E+16      0.586689484862E+16      0.586689484862E+16      0.586689484862E+16
     -0.158358358358E+01      0.585203741196E+16      0.585203741196E+16      0.585203741196E+16      0.585203741196E+16
     -0.157957957958E+01      0.583844515617E+16      0.583844515617E+16      0.583844515617E+16      0.583844515617E+16
     -0.157557557558E+01      0.582562895778E+16      0.582562895778E+16      0.582562895778E+16      0.582562895778E+16
     -0.157157157157E+01      0.581305198664E+16      0.581305198664E+16      0.581305198664E+16      0.581305198664E+16
     -0.156756756757E+01      0.580017324161E+16      0.580017324161E+16      0.580017324161E+16      0.580017324161E+16
     -0.156356356356E+01      0.578648663478E+16      0.578648663478E+16      0.578648663478E+16      0.578648663478E+16
     -0.155955955956E+01      0.577155090512E+16      0.577155090512E+16      0.577155090512E+16      0.577155090512E+16
     -0.155555555556E+01      0.575500850472E+16      0.575500850472E+16      0.575500850472E+16      0.575500850472E+16
     -0.155155155155E+01      0.573659455437E+16      0.573659455437E+16      0.573659455437E+16      0.573659455437E+16
     -0.154754754755E+01      0.571613907118E+16      0.571613907118E+16      0.571613907118E+16      0.571613907118E+16
     -0.154354354354E+01      0.569356627977E+16      0.569356627977E+16      0.569356627977E+16      0.569356627977E+16
     -0.153953953954E+01      0.566889382236E+16      0.566889382236E+16      0.566889382236E+16      0.566889382236E+16
     -0.153553553554E+01      0.564223255306E+16      0.564223255306E+16      0.564223255306E+16      0.564223255306E+16
     -0.153153153153E+01      0.561378521501E+16      0.561378521501E+16      0.561378521501E+16      0.561378521501E+16
     -0.152752752753E+01      0.558384061204E+16      0.558384061204E+16      0.558384061204E+16      0.558384061204E+16
     -0.152352352352E+01      0.555275959826E+16      0.555275959826E+16      0.555275959826E+16      0.555275959826E+16
     -0.151951951952E+01      0.552095053976E+16      0.552095053976E+16      0.552095053976E+16      0.552095053976E+16
     -0.151551551552E+01      0.548883453070E+16      0.548883453070E+16      0.548883453070E+16      0.548883453070E+16
     -0.151151151151E+01      0.545680382233E+16      0.545680382233E+16      0.545680382233E+16      0.545680382233E+16
     -0.150750750751E+01      0.542517968815E+16      0.542517968815E+16      0.542517968815E+16      0.542517968815E+16
     -0.150350350350E+01      0.539417739971E+16      0.539417739971E+16      0.539417739971E+16      0.539417739971E+16
     -0.149949949950E+01      0.536388555227E+16      0.536388555227E+16      0.536388555227E+16      0.536388555227E+16
     -0.149549549550E+01      0.533426459124E+16      0.533426459124E+16      0.533426459124E+16      0.533426459124E+16
     -0.149149149149E+01      0.530516555480E+16      0.530516555480E+16      0.530516555480E+16      0.530516555480E+16
     -0.148748748749E+01      0.527636572017E+16      0.527636572017E+16      0.527636572017E+16      0.527636572017E+16
     -0.148348348348E+01      0.524761416845E+16      0.524761416845E+16      0.524761416845E+16      0.524761416845E+16
     -0.147947947948E+01      0.521867826491E+16      0.521867826491E+16      0.521867826491E+16      0.521867826491E+16
     -0.147547547548E+01      0.518938223600E+16      0.518938223600E+16      0.518938223600E+16      0.518938223600E+16
     -0.147147147147E+01      0.515963133595E+16      0.515963133595E+16      0.515963133595E+16      0.515963133595E+16
     -0.146746746747E+01      0.512941885209E+16      0.512941885209E+16      0.512941885209E+16      0.512941885209E+16
     -0.146346346346E+01      0.509881731661E+16      0.509881731661E+16      0.509881731661E+16      0.509881731661E+16
     -0.145945945946E+01      0.506795862512E+16      0.506795862512E+16      0.506795862512E+16      0.506795862512E+16
     -0.145545545546E+01      0.503700945232E+16      0.503700945232E+16      0.503700945232E+16      0.503700945232E+16
     -0.145145145145E+01      0.500614809374E+16      0.500614809374E+16      0.500614809374E+16      0.500614809374E+16
     -0.144744744745E+01      0.497554695982E+16      0.497554695982E+16      0.497554695982E+16      0.497554695982E+16
     -0.144344344344E+01      0.494536218944E+16      0.494536218944E+16      0.494536218944E+16      0.494536218944E+16
     -0.143943943944E+01      0.491572920446E+16      0.491572920446E+16      0.491572920446E+16      0.491572920446E+16
     -0.143543543544E+01      0.488676131815E+16      0.488676131815E+16      0.488676131815E+16      0.488676131815E+16
     -0.143143143143E+01      0.485854817074E+16      0.485854817074E+16      0.485854817074E+16      0.485854817074E+16
     -0.142742742743E+01      0.483115173435E+16      0.483115173435E+16      0.483115173435E+16      0.483115173435E+16
     -0.142342342342E+01      0.480459943177E+16      0.480459943177E+16      0.480459943177E+16      0.480459943177E+16
     -0.141941941942E+01      0.477887584589E+16      0.477887584589E+16      0.477887584589E+16      0.477887584589E+16
     -0.141541541542E+01      0.475391587284E+16      0.475391587284E+16      0.475391587284E+16      0.475391587284E+16
     -0.141141141141E+01      0.472960252766E+16      0.472960252766E+16      0.472960252766E+16      0.472960252766E+16
