             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.107507507508E+01      0.371212192209E+21      0.371212192209E+21      0.371212192209E+21      0.371212192209E+21
     -0.107107107107E+01      0.368228863231E+21      0.368228863231E+21      0.368228863231E+21      0.368228863231E+21
     -0.106706706707E+01      0.365284737262E+21      0.365284737262E+21      0.365284737262E+21      0.365284737262E+21
     -0.106306306306E+01      0.362389051742E+21      0.362389051742E+21      0.362389051742E+21      0.362389051742E+21
     -0.105905905906E+01      0.359549272583E+21      0.359549272583E+21      0.359549272583E+21      0.359549272583E+21
     -0.105505505506E+01      0.356770447178E+21      0.356770447178E+21      0.356770447178E+21      0.356770447178E+21
     -0.105105105105E+01      0.354054993621E+21      0.354054993621E+21      0.354054993621E+21      0.354054993621E+21
     -0.104704704705E+01      0.351402949072E+21      0.351402949072E+21      0.351402949072E+21      0.351402949072E+21
     -0.104304304304E+01      0.348812588862E+21      0.348812588862E+21      0.348812588862E+21      0.348812588862E+21
     -0.103903903904E+01      0.346281245487E+21      0.346281245487E+21      0.346281245487E+21      0.346281245487E+21
     -0.103503503504E+01      0.343806120749E+21      0.343806120749E+21      0.343806120749E+21      0.343806120749E+21
     -0.103103103103E+01      0.341384899305E+21      0.341384899305E+21      0.341384899305E+21      0.341384899305E+21
     -0.102702702703E+01      0.339016029585E+21      0.339016029585E+21      0.339016029585E+21      0.339016029585E+21
     -0.102302302302E+01      0.336698621760E+21      0.336698621760E+21      0.336698621760E+21      0.336698621760E+21
     -0.101901901902E+01      0.334432001901E+21      0.334432001901E+21      0.334432001901E+21      0.334432001901E+21
     -0.101501501502E+01      0.332215037653E+21      0.332215037653E+21      0.332215037653E+21      0.332215037653E+21
     -0.101101101101E+01      0.330045398715E+21      0.330045398715E+21      0.330045398715E+21      0.330045398715E+21
     -0.100700700701E+01      0.327918927259E+21      0.327918927259E+21      0.327918927259E+21      0.327918927259E+21
     -0.100300300300E+01      0.325829268389E+21      0.325829268389E+21      0.325829268389E+21      0.325829268389E+21
     -0.998998998999E+00      0.323767855636E+21      0.323767855636E+21      0.323767855636E+21      0.323767855636E+21
     -0.994994994995E+00      0.321724273204E+21      0.321724273204E+21      0.321724273204E+21      0.321724273204E+21
     -0.990990990991E+00      0.319686940178E+21      0.319686940178E+21      0.319686940178E+21      0.319686940178E+21
     -0.986986986987E+00      0.317643996880E+21      0.317643996880E+21      0.317643996880E+21      0.317643996880E+21
     -0.982982982983E+00      0.315584232662E+21      0.315584232662E+21      0.315584232662E+21      0.315584232662E+21
     -0.978978978979E+00      0.313497886315E+21      0.313497886315E+21      0.313497886315E+21      0.313497886315E+21
     -0.974974974975E+00      0.311377178044E+21      0.311377178044E+21      0.311377178044E+21      0.311377178044E+21
     -0.970970970971E+00      0.309216491638E+21      0.309216491638E+21      0.309216491638E+21      0.309216491638E+21
     -0.966966966967E+00      0.307012204840E+21      0.307012204840E+21      0.307012204840E+21      0.307012204840E+21
     -0.962962962963E+00      0.304762246206E+21      0.304762246206E+21      0.304762246206E+21      0.304762246206E+21
     -0.958958958959E+00      0.302465517178E+21      0.302465517178E+21      0.302465517178E+21      0.302465517178E+21
     -0.954954954955E+00      0.300121342737E+21      0.300121342737E+21      0.300121342737E+21      0.300121342737E+21
