             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.165965965966E+01      0.191868880797E+01      0.191868880797E+01      0.191868880797E+01      0.191868880797E+01
     -0.165565565566E+01      0.180768905092E+01      0.180768905092E+01      0.180768905092E+01      0.180768905092E+01
     -0.165165165165E+01      0.172647873551E+01      0.172647873551E+01      0.172647873551E+01      0.172647873551E+01
     -0.164764764765E+01      0.167755634722E+01      0.167755634722E+01      0.167755634722E+01      0.167755634722E+01
     -0.164364364364E+01      0.166219323416E+01      0.166219323416E+01      0.166219323416E+01      0.166219323416E+01
     -0.163963963964E+01      0.168098833238E+01      0.168098833238E+01      0.168098833238E+01      0.168098833238E+01
     -0.163563563564E+01      0.173436980147E+01      0.173436980147E+01      0.173436980147E+01      0.173436980147E+01
     -0.163163163163E+01      0.182297310842E+01      0.182297310842E+01      0.182297310842E+01      0.182297310842E+01
     -0.162762762763E+01      0.194784932030E+01      0.194784932030E+01      0.194784932030E+01      0.194784932030E+01
     -0.162362362362E+01      0.211046583408E+01      0.211046583408E+01      0.211046583408E+01      0.211046583408E+01
     -0.161961961962E+01      0.231246738413E+01      0.231246738413E+01      0.231246738413E+01      0.231246738413E+01
     -0.161561561562E+01      0.255518354490E+01      0.255518354490E+01      0.255518354490E+01      0.255518354490E+01
     -0.161161161161E+01      0.283890849475E+01      0.283890849475E+01      0.283890849475E+01      0.283890849475E+01
     -0.160760760761E+01      0.316203758587E+01      0.316203758587E+01      0.316203758587E+01      0.316203758587E+01
     -0.160360360360E+01      0.352021151689E+01      0.352021151689E+01      0.352021151689E+01      0.352021151689E+01
     -0.159959959960E+01      0.390567215577E+01      0.390567215577E+01      0.390567215577E+01      0.390567215577E+01
     -0.159559559560E+01      0.430704841690E+01      0.430704841690E+01      0.430704841690E+01      0.430704841690E+01
     -0.159159159159E+01      0.470974351132E+01      0.470974351132E+01      0.470974351132E+01      0.470974351132E+01
     -0.158758758759E+01      0.509698042732E+01      0.509698042732E+01      0.509698042732E+01      0.509698042732E+01
     -0.158358358358E+01      0.545140202957E+01      0.545140202957E+01      0.545140202956E+01      0.545140202956E+01
     -0.157957957958E+01      0.575696354280E+01      0.575696354280E+01      0.575696354280E+01      0.575696354280E+01
     -0.157557557558E+01      0.600075651494E+01      0.600075651494E+01      0.600075651494E+01      0.600075651494E+01
     -0.157157157157E+01      0.617440690796E+01      0.617440690796E+01      0.617440690796E+01      0.617440690796E+01
     -0.156756756757E+01      0.627479982107E+01      0.627479982107E+01      0.627479982107E+01      0.627479982107E+01
     -0.156356356356E+01      0.630406042651E+01      0.630406042651E+01      0.630406042651E+01      0.630406042651E+01
     -0.155955955956E+01      0.626889971768E+01      0.626889971768E+01      0.626889971768E+01      0.626889971768E+01
     -0.155555555556E+01      0.617955337371E+01      0.617955337371E+01      0.617955337371E+01      0.617955337371E+01
     -0.155155155155E+01      0.604857189231E+01      0.604857189231E+01      0.604857189231E+01      0.604857189231E+01
     -0.154754754755E+01      0.588966954179E+01      0.588966954179E+01      0.588966954179E+01      0.588966954179E+01
     -0.154354354354E+01      0.571674703224E+01      0.571674703224E+01      0.571674703224E+01      0.571674703224E+01
     -0.153953953954E+01      0.554311303092E+01      0.554311303092E+01      0.554311303092E+01      0.554311303092E+01
     -0.153553553554E+01      0.538087346336E+01      0.538087346336E+01      0.538087346336E+01      0.538087346336E+01
     -0.153153153153E+01      0.524044220936E+01      0.524044220936E+01      0.524044220936E+01      0.524044220936E+01
     -0.152752752753E+01      0.513014043140E+01      0.513014043140E+01      0.513014043140E+01      0.513014043140E+01
     -0.152352352352E+01      0.505587598030E+01      0.505587598030E+01      0.505587598030E+01      0.505587598030E+01
     -0.151951951952E+01      0.502091642638E+01      0.502091642638E+01      0.502091642638E+01      0.502091642638E+01
     -0.151551551552E+01      0.502578651198E+01      0.502578651198E+01      0.502578651198E+01      0.502578651198E+01
     -0.151151151151E+01      0.506833503312E+01      0.506833503312E+01      0.506833503312E+01      0.506833503312E+01
     -0.150750750751E+01      0.514402435977E+01      0.514402435977E+01      0.514402435977E+01      0.514402435977E+01
     -0.150350350350E+01      0.524648621334E+01      0.524648621334E+01      0.524648621334E+01      0.524648621334E+01
     -0.149949949950E+01      0.536834641698E+01      0.536834641698E+01      0.536834641698E+01      0.536834641698E+01
     -0.149549549550E+01      0.550224833642E+01      0.550224833642E+01      0.550224833642E+01      0.550224833642E+01
     -0.149149149149E+01      0.564192147885E+01      0.564192147885E+01      0.564192147885E+01      0.564192147885E+01
     -0.148748748749E+01      0.578308699112E+01      0.578308699112E+01      0.578308699112E+01      0.578308699112E+01
     -0.148348348348E+01      0.592400033474E+01      0.592400033474E+01      0.592400033474E+01      0.592400033474E+01
     -0.147947947948E+01      0.606551111529E+01      0.606551111529E+01      0.606551111529E+01      0.606551111529E+01
     -0.147547547548E+01      0.621064410965E+01      0.621064410965E+01      0.621064410965E+01      0.621064410965E+01
     -0.147147147147E+01      0.636382592777E+01      0.636382592777E+01      0.636382592777E+01      0.636382592777E+01
     -0.146746746747E+01      0.652995469721E+01      0.652995469721E+01      0.652995469721E+01      0.652995469721E+01
     -0.146346346346E+01      0.671351656613E+01      0.671351656613E+01      0.671351656613E+01      0.671351656613E+01
     -0.145945945946E+01      0.691790211588E+01      0.691790211588E+01      0.691790211588E+01      0.691790211588E+01
     -0.145545545546E+01      0.714499490860E+01      0.714499490860E+01      0.714499490860E+01      0.714499490860E+01
     -0.145145145145E+01      0.739502263756E+01      0.739502263756E+01      0.739502263756E+01      0.739502263756E+01
     -0.144744744745E+01      0.766660047334E+01      0.766660047334E+01      0.766660047334E+01      0.766660047334E+01
     -0.144344344344E+01      0.795686810004E+01      0.795686810004E+01      0.795686810004E+01      0.795686810004E+01
     -0.143943943944E+01      0.826162970591E+01      0.826162970591E+01      0.826162970591E+01      0.826162970591E+01
     -0.143543543544E+01      0.857544481638E+01      0.857544481638E+01      0.857544481638E+01      0.857544481638E+01
     -0.143143143143E+01      0.889167430584E+01      0.889167430584E+01      0.889167430584E+01      0.889167430584E+01
