             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.168368368368E+01      0.569692474468E+01      0.569692474468E+01      0.569692474468E+01      0.569692474468E+01
     -0.167967967968E+01      0.556537975696E+01      0.556537975696E+01      0.556537975696E+01      0.556537975696E+01
     -0.167567567568E+01      0.540828781705E+01      0.540828781705E+01      0.540828781705E+01      0.540828781705E+01
     -0.167167167167E+01      0.523452646368E+01      0.523452646368E+01      0.523452646368E+01      0.523452646368E+01
     -0.166766766767E+01      0.505450689252E+01      0.505450689252E+01      0.505450689252E+01      0.505450689252E+01
     -0.166366366366E+01      0.487936980015E+01      0.487936980015E+01      0.487936980015E+01      0.487936980015E+01
     -0.165965965966E+01      0.472008516662E+01      0.472008516662E+01      0.472008516662E+01      0.472008516662E+01
     -0.165565565566E+01      0.458657644335E+01      0.458657644335E+01      0.458657644335E+01      0.458657644335E+01
     -0.165165165165E+01      0.448700494950E+01      0.448700494950E+01      0.448700494950E+01      0.448700494950E+01
     -0.164764764765E+01      0.442733342167E+01      0.442733342167E+01      0.442733342167E+01      0.442733342167E+01
     -0.164364364364E+01      0.441123361433E+01      0.441123361433E+01      0.441123361433E+01      0.441123361433E+01
     -0.163963963964E+01      0.444032233657E+01      0.444032233657E+01      0.444032233657E+01      0.444032233657E+01
     -0.163563563564E+01      0.451462755733E+01      0.451462755733E+01      0.451462755733E+01      0.451462755733E+01
     -0.163163163163E+01      0.463312945476E+01      0.463312945476E+01      0.463312945476E+01      0.463312945476E+01
     -0.162762762763E+01      0.479421074725E+01      0.479421074725E+01      0.479421074725E+01      0.479421074725E+01
     -0.162362362362E+01      0.499588996567E+01      0.499588996567E+01      0.499588996567E+01      0.499588996567E+01
     -0.161961961962E+01      0.523578647734E+01      0.523578647734E+01      0.523578647734E+01      0.523578647734E+01
     -0.161561561562E+01      0.551085174870E+01      0.551085174870E+01      0.551085174870E+01      0.551085174870E+01
     -0.161161161161E+01      0.581697126231E+01      0.581697126231E+01      0.581697126231E+01      0.581697126231E+01
     -0.160760760761E+01      0.614857764011E+01      0.614857764011E+01      0.614857764011E+01      0.614857764011E+01
     -0.160360360360E+01      0.649841242820E+01      0.649841242820E+01      0.649841242820E+01      0.649841242820E+01
     -0.159959959960E+01      0.685753767338E+01      0.685753767338E+01      0.685753767338E+01      0.685753767338E+01
     -0.159559559560E+01      0.721564163528E+01      0.721564163528E+01      0.721564163528E+01      0.721564163528E+01
     -0.159159159159E+01      0.756162016854E+01      0.756162016854E+01      0.756162016854E+01      0.756162016854E+01
     -0.158758758759E+01      0.788435921731E+01      0.788435921731E+01      0.788435921731E+01      0.788435921731E+01
     -0.158358358358E+01      0.817360425869E+01      0.817360425869E+01      0.817360425869E+01      0.817360425869E+01
     -0.157957957958E+01      0.842078598073E+01      0.842078598073E+01      0.842078598073E+01      0.842078598073E+01
     -0.157557557558E+01      0.861968094762E+01      0.861968094762E+01      0.861968094762E+01      0.861968094762E+01
     -0.157157157157E+01      0.876681985173E+01      0.876681985173E+01      0.876681985173E+01      0.876681985173E+01
     -0.156756756757E+01      0.886160705417E+01      0.886160705417E+01      0.886160705417E+01      0.886160705417E+01
     -0.156356356356E+01      0.890617129800E+01      0.890617129800E+01      0.890617129800E+01      0.890617129800E+01
     -0.155955955956E+01      0.890501410977E+01      0.890501410977E+01      0.890501410977E+01      0.890501410977E+01
     -0.155555555556E+01      0.886454679959E+01      0.886454679959E+01      0.886454679959E+01      0.886454679959E+01
     -0.155155155155E+01      0.879260301668E+01      0.879260301668E+01      0.879260301668E+01      0.879260301668E+01
     -0.154754754755E+01      0.869798475801E+01      0.869798475801E+01      0.869798475801E+01      0.869798475801E+01
     -0.154354354354E+01      0.859005752357E+01      0.859005752357E+01      0.859005752357E+01      0.859005752357E+01
     -0.153953953954E+01      0.847837152358E+01      0.847837152358E+01      0.847837152358E+01      0.847837152358E+01
     -0.153553553554E+01      0.837226554841E+01      0.837226554841E+01      0.837226554841E+01      0.837226554841E+01
     -0.153153153153E+01      0.828041633370E+01      0.828041633370E+01      0.828041633370E+01      0.828041633370E+01
     -0.152752752753E+01      0.821032711623E+01      0.821032711623E+01      0.821032711623E+01      0.821032711623E+01
     -0.152352352352E+01      0.816779364364E+01      0.816779364364E+01      0.816779364364E+01      0.816779364364E+01
     -0.151951951952E+01      0.815642807113E+01      0.815642807113E+01      0.815642807113E+01      0.815642807113E+01
     -0.151551551552E+01      0.817734498399E+01      0.817734498399E+01      0.817734498399E+01      0.817734498399E+01
     -0.151151151151E+01      0.822910834614E+01      0.822910834614E+01      0.822910834614E+01      0.822910834614E+01
     -0.150750750751E+01      0.830800102025E+01      0.830800102025E+01      0.830800102025E+01      0.830800102025E+01
     -0.150350350350E+01      0.840861661356E+01      0.840861661356E+01      0.840861661356E+01      0.840861661356E+01
     -0.149949949950E+01      0.852470173742E+01      0.852470173742E+01      0.852470173742E+01      0.852470173742E+01
     -0.149549549550E+01      0.865011447749E+01      0.865011447749E+01      0.865011447749E+01      0.865011447749E+01
     -0.149149149149E+01      0.877972996116E+01      0.877972996116E+01      0.877972996116E+01      0.877972996116E+01
     -0.148748748749E+01      0.891012779541E+01      0.891012779541E+01      0.891012779541E+01      0.891012779541E+01
     -0.148348348348E+01      0.903993983475E+01      0.903993983475E+01      0.903993983475E+01      0.903993983475E+01
     -0.147947947948E+01      0.916980998408E+01      0.916980998408E+01      0.916980998408E+01      0.916980998408E+01
     -0.147547547548E+01      0.930200166882E+01      0.930200166882E+01      0.930200166882E+01      0.930200166882E+01
