  #energy          xx             yy              zz              xy              yz              zx
  0.22534000E+01  0.15731623E-01  0.15731623E-01  0.15731623E-01             NaN             NaN             NaN
  0.22672000E+01  0.15078429E-01  0.15078429E-01  0.15078429E-01             NaN             NaN             NaN
  0.22809000E+01  0.14279475E-01  0.14279475E-01  0.14279475E-01             NaN             NaN             NaN
  0.22946000E+01  0.13409575E-01  0.13409575E-01  0.13409575E-01             NaN             NaN             NaN
  0.23084000E+01  0.12535949E-01  0.12535949E-01  0.12535949E-01             NaN             NaN             NaN
  0.23221000E+01  0.11715112E-01  0.11715112E-01  0.11715112E-01             NaN             NaN             NaN
  0.23359000E+01  0.10979971E-01  0.10979971E-01  0.10979971E-01             NaN             NaN             NaN
  0.23496000E+01  0.10353363E-01  0.10353363E-01  0.10353363E-01             NaN             NaN             NaN
  0.23634000E+01  0.98378490E-02  0.98378490E-02  0.98378490E-02             NaN             NaN             NaN
  0.23771000E+01  0.94375515E-02  0.94375515E-02  0.94375515E-02             NaN             NaN             NaN
  0.23909000E+01  0.91431430E-02  0.91431430E-02  0.91431430E-02             NaN             NaN             NaN
  0.24046000E+01  0.89528079E-02  0.89528079E-02  0.89528079E-02             NaN             NaN             NaN
  0.24184000E+01  0.88577098E-02  0.88577098E-02  0.88577098E-02             NaN             NaN             NaN
  0.24321000E+01  0.88567654E-02  0.88567654E-02  0.88567654E-02             NaN             NaN             NaN
  0.24459000E+01  0.89434948E-02  0.89434948E-02  0.89434948E-02             NaN             NaN             NaN
  0.24596000E+01  0.91196332E-02  0.91196332E-02  0.91196332E-02             NaN             NaN             NaN
  0.24733000E+01  0.93804908E-02  0.93804908E-02  0.93804908E-02             NaN             NaN             NaN
  0.24871000E+01  0.97205240E-02  0.97205240E-02  0.97205240E-02             NaN             NaN             NaN
  0.25008000E+01  0.10138605E-01  0.10138605E-01  0.10138605E-01             NaN             NaN             NaN
  0.25146000E+01  0.10621713E-01  0.10621713E-01  0.10621713E-01             NaN             NaN             NaN
  0.25283000E+01  0.11163217E-01  0.11163217E-01  0.11163217E-01             NaN             NaN             NaN
  0.25421000E+01  0.11741931E-01  0.11741931E-01  0.11741931E-01             NaN             NaN             NaN
  0.25558000E+01  0.12344857E-01  0.12344857E-01  0.12344857E-01             NaN             NaN             NaN
  0.25696000E+01  0.12945337E-01  0.12945337E-01  0.12945337E-01             NaN             NaN             NaN
  0.25833000E+01  0.13527637E-01  0.13527637E-01  0.13527637E-01             NaN             NaN             NaN
  0.25971000E+01  0.14063763E-01  0.14063763E-01  0.14063763E-01             NaN             NaN             NaN
  0.26108000E+01  0.14538799E-01  0.14538799E-01  0.14538799E-01             NaN             NaN             NaN
  0.26246000E+01  0.14927858E-01  0.14927858E-01  0.14927858E-01             NaN             NaN             NaN
  0.26383000E+01  0.15224248E-01  0.15224248E-01  0.15224248E-01             NaN             NaN             NaN
  0.26521000E+01  0.15417176E-01  0.15417176E-01  0.15417176E-01             NaN             NaN             NaN
  0.26658000E+01  0.15522695E-01  0.15522695E-01  0.15522695E-01             NaN             NaN             NaN
