    #kx         ky         Energy       Sx       Sy     Sz
    #Grid_Size:    44   44
    #Band_Index:    4
   -0.590973    0.622186  -12.818012   0.471   0.134  -0.630
   -0.556210    0.602115  -12.833859   0.521   0.267  -0.528
   -0.521447    0.582045  -12.856557   0.550   0.360  -0.418
   -0.486684    0.561974  -12.885428   0.571   0.418  -0.331
   -0.451921    0.541904  -12.920410   0.585   0.440  -0.267
   -0.417158    0.521833  -12.959439   0.596   0.447  -0.216
   -0.382395    0.501763  -13.001516   0.608   0.446  -0.173
   -0.347631    0.481692  -13.046531   0.619   0.437  -0.138
   -0.312868    0.461622  -13.092328   0.632   0.423  -0.109
   -0.278105    0.441551  -13.138077   0.646   0.405  -0.085
   -0.243342    0.421481  -13.183640   0.661   0.381  -0.065
   -0.208579    0.401410  -13.227262   0.676   0.351  -0.049
   -0.173816    0.381340  -13.268399   0.693   0.316  -0.035
   -0.139053    0.361269  -13.306920   0.709   0.274  -0.023
   -0.104289    0.341199  -13.341589   0.724   0.223  -0.016
   -0.069526    0.321128  -13.372104   0.737   0.161  -0.011
   -0.034763    0.301058  -13.398361   0.746   0.090  -0.010
   -0.000000    0.321128  -13.379837   0.754   0.002  -0.003
    0.034763    0.301058  -13.398305   0.753  -0.091   0.002
    0.069526    0.280987  -13.411494   0.736  -0.185   0.005
    0.104289    0.260917  -13.419404   0.704  -0.279   0.007
    0.139053    0.240846  -13.422035   0.654  -0.374   0.008
    0.173816    0.220776  -13.419385   0.592  -0.467   0.007
    0.208579    0.200705  -13.411446   0.524  -0.546   0.006
    0.243342    0.180635  -13.398218   0.453  -0.608   0.004
    0.278105    0.160564  -13.379844   0.380  -0.655  -0.000
    0.312868    0.140494  -13.356795   0.312  -0.691  -0.005
    0.347631    0.120423  -13.329107   0.249  -0.718  -0.012
    0.382395    0.100353  -13.297115   0.192  -0.735  -0.021
    0.417158    0.080282  -13.261690   0.142  -0.747  -0.033
    0.451921    0.060212  -13.222875   0.098  -0.755  -0.047
    0.486684    0.040141  -13.181303   0.060  -0.760  -0.065
