     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
     7.63413     0.14501    -0.18416     0.07685    -0.11125
     7.74713     0.12548    -0.16382     0.06828    -0.09330
     7.86013     0.13014    -0.13555     0.06959    -0.07511
     7.97313     0.12930    -0.13868     0.06538    -0.07569
     8.08613     0.12710    -0.14247     0.06735    -0.07654
     8.19813     0.12425    -0.13354     0.06992    -0.07078
     8.31113     0.16405    -0.12903     0.10433    -0.07223
     8.42413     0.24034    -0.11596     0.15990    -0.07093
     8.53713     0.26776    -0.22369     0.16950    -0.14686
     8.65013     0.25459    -0.28822     0.16801    -0.18085
     8.76313     0.19705    -0.25922     0.15467    -0.16971
     8.87613     0.20303    -0.19679     0.15089    -0.14628
     8.98913     0.21093    -0.21177     0.14579    -0.15500
     9.10213     0.25483    -0.22058     0.16841    -0.15307
     9.21413     0.25617    -0.22959     0.15533    -0.15531
     9.32713     0.21012    -0.26106     0.12716    -0.16059
     9.44013     0.17839    -0.22141     0.08962    -0.13522
     9.55313     0.18554    -0.18625     0.07984    -0.11039
     9.66613     0.16874    -0.18778     0.06187    -0.08204
     9.77913     0.15266    -0.17074     0.05461    -0.06384
     9.89213     0.15519    -0.15317     0.05414    -0.05615
    10.00513     0.14021    -0.15606     0.05162    -0.05585
    10.11813     0.20610    -0.21228     0.09560    -0.09153
    10.23013     0.20637    -0.19125     0.09169    -0.09131
    10.34313     0.21097    -0.18704     0.11133    -0.08821
    10.45613     0.22583    -0.20448     0.12294    -0.10119
    10.56913     0.25120    -0.22682     0.14877    -0.12173
    10.68213     0.22228    -0.25205     0.13679    -0.14898
    10.79513     0.23539    -0.21947     0.14566    -0.13691
    10.90813     0.23647    -0.24190     0.11549    -0.14793
    11.02113     0.23573    -0.25399     0.12188    -0.12280
    11.13413     0.24780    -0.24835     0.12484    -0.12725
    11.24613     0.25000    -0.23173     0.11236    -0.11599
    11.35913     0.26994    -0.27507     0.11812    -0.12328
    11.47213     0.25562    -0.24543     0.10262    -0.10059
    11.58513     0.27903    -0.26623     0.11694    -0.10589
    11.69813     0.33228    -0.27867     0.13725    -0.11602
    11.81113     0.32568    -0.31064     0.15834    -0.13897
    11.92413     0.28511    -0.36490     0.15449    -0.17502
    12.03713     0.25797    -0.23064     0.15585    -0.13214
    12.15013     0.29467    -0.26550     0.18953    -0.15921
    12.26213     0.30564    -0.30733     0.17141    -0.20020
    12.37513     0.30960    -0.28835     0.17814    -0.17084
    12.48813     0.31923    -0.30521     0.18279    -0.17348
    12.60113     0.27920    -0.32916     0.15853    -0.18247
    12.71413     0.23039    -0.26757     0.14294    -0.14221
    12.82713     0.25694    -0.26487     0.12437    -0.17083
    12.94013     0.22047    -0.24923     0.12261    -0.11791
    13.05313     0.31289    -0.22518     0.22941    -0.12377
    13.16613     0.21458    -0.31554     0.11286    -0.19293
    13.27813     0.26098    -0.18330     0.14854    -0.10473
    13.39113     0.16732    -0.18308     0.09288    -0.10968
    13.50413     0.19587    -0.18546     0.10787    -0.11066
    13.61713     0.20618    -0.19775     0.11138    -0.11608
    13.73013     0.22272    -0.20678     0.12080    -0.11909
    13.84313     0.26648    -0.23501     0.14402    -0.13546
    13.95613     0.29384    -0.25884     0.15857    -0.14919
    14.06913     0.31726    -0.27688     0.20505    -0.15685
    14.18213     0.34778    -0.33162     0.20805    -0.23464
    14.29413     0.30911    -0.31094     0.16033    -0.17331
    14.40713     0.30337    -0.30773     0.14824    -0.15712
    14.52013     0.42225    -0.36057     0.20351    -0.18029
    14.63313     0.28827    -0.34373     0.12115    -0.14709
    14.74613     0.33400    -0.29465     0.12473    -0.12420
    14.85913     0.22732    -0.31931     0.10257    -0.11934
    14.97213     0.21248    -0.22175     0.09992    -0.10111
    15.08513     0.23651    -0.20783     0.12219    -0.09860
    15.19813     0.25405    -0.23860     0.13637    -0.12243
    15.31013     0.25172    -0.26724     0.13800    -0.14139
    15.42313     0.24371    -0.25045     0.13711    -0.13884
    15.53613     0.26572    -0.26913     0.15105    -0.14957
    15.64913     0.30825    -0.30765     0.18097    -0.17775
    15.76213     0.26378    -0.35409     0.16429    -0.21038
    15.87513     0.22757    -0.21200     0.14040    -0.13526
    15.98813     0.23361    -0.24241     0.13938    -0.14470
    16.10113     0.22454    -0.23393     0.13315    -0.13766
    16.21413     0.22952    -0.21980     0.13457    -0.12679
    16.32613     0.20594    -0.22711     0.12208    -0.13109
    16.43913     0.20225    -0.20610     0.11966    -0.12213
    16.55213     0.19827    -0.20057     0.11548    -0.12034
    16.66513     0.19540    -0.19894     0.11251    -0.11683
    16.77813     0.17639    -0.18697     0.10587    -0.11069
    16.89113     0.17530    -0.17194     0.10655    -0.10603
    17.00413     0.20774    -0.21861     0.11727    -0.12597
    17.11713     0.21725    -0.21209     0.11780    -0.11880
    17.23013     0.20441    -0.21432     0.10659    -0.11520
    17.34213     0.17908    -0.18942     0.09215    -0.09915
    17.45513     0.17238    -0.17119     0.09167    -0.09081
    17.56813     0.16979    -0.17391     0.09206    -0.09533
    17.68113     0.16314    -0.16618     0.08915    -0.09202
    17.79413     0.16095    -0.15624     0.08869    -0.08765
    17.90713     0.16824    -0.16364     0.09334    -0.09186
    18.02013     0.29891    -0.17855     0.24324    -0.10010
    18.13313     0.21863    -0.34804     0.11170    -0.17596
    18.24613     0.21715    -0.21955     0.10502    -0.10975
    18.35813     0.15268    -0.15968     0.06591    -0.06986
    18.47113     0.13342    -0.14070     0.05861    -0.06106
    18.58413     0.10901    -0.12215     0.05193    -0.05481
    18.69713     0.10221    -0.10437     0.05068    -0.05069
    18.81013     0.09623    -0.09851     0.04961    -0.04964
    18.92313     0.09044    -0.09277     0.04865    -0.04867
    19.03613     0.08556    -0.08716     0.04807    -0.04778
    19.14913     0.07621    -0.07899     0.04493    -0.04574
    19.26213     0.07009    -0.07181     0.04145    -0.04218
    19.37413     0.06698    -0.06765     0.03983    -0.04013
    19.48713     0.06405    -0.06457     0.03832    -0.03854
    19.60013     0.06111    -0.06149     0.03685    -0.03700
    19.71313     0.07863    -0.05842     0.05661    -0.03551
    19.82613     0.04522    -0.06433     0.02611    -0.04567
    19.93913     0.04287    -0.04278     0.02471    -0.02491
    20.05213     0.04055    -0.04031     0.02334    -0.02350
    20.16513     0.04529    -0.04363     0.02368    -0.02349
    20.27813     0.03406    -0.03501     0.02024    -0.02057
    20.39013     0.02594    -0.02937     0.01889    -0.01944
    20.50313     0.02555    -0.02529     0.01924    -0.01895
    20.61613     0.02531    -0.02550     0.01966    -0.01941
