#K-Path     Energy-Level
#Band-index    1
  1.403      -16.0750
  1.434      -16.0750
  1.466      -16.0750
  1.497      -16.0750
  1.529      -16.0749
  1.560      -16.0749
  1.592      -16.0749
  1.623      -16.0748
  1.655      -16.0748
  1.686      -16.0748
  1.718      -16.0748
  1.749      -16.0748
  1.781      -16.0748
  1.812      -16.0747
  1.844      -16.0747
  1.875      -16.0747
  1.875      -16.0747
  1.907      -16.0747
  1.938      -16.0747
  1.969      -16.0748
  2.001      -16.0748
  2.032      -16.0748
  2.064      -16.0748
  2.095      -16.0749
  2.126      -16.0749
  2.158      -16.0749
  2.189      -16.0750
  2.221      -16.0750
  2.252      -16.0751
  2.284      -16.0751
  2.315      -16.0752
  2.346      -16.0752
  2.378      -16.0753
  2.409      -16.0753
  2.441      -16.0754
  2.472      -16.0754
  2.504      -16.0754
  2.535      -16.0755
  2.566      -16.0755
  2.598      -16.0755
  2.629      -16.0755
  2.661      -16.0756
  2.692      -16.0756
  2.723      -16.0756
#Band-index    6
  2.723      -16.0756
  2.692      -16.0756
  2.661      -16.0756
  2.629      -16.0755
  2.598      -16.0755
  2.566      -16.0755
  2.535      -16.0755
  2.504      -16.0754
  2.472      -16.0754
  2.441      -16.0753
  2.409      -16.0753
  2.378      -16.0753
  2.346      -16.0752
  2.315      -16.0752
  2.284      -16.0751
  2.252      -16.0751
  2.221      -16.0750
  2.189      -16.0750
  2.158      -16.0749
  2.126      -16.0749
  2.095      -16.0749
  2.064      -16.0748
  2.032      -16.0748
  2.001      -16.0748
  1.969      -16.0748
  1.938      -16.0747
  1.907      -16.0747
  1.875      -16.0747
  1.875      -16.0747
  1.844      -16.0747
  1.812      -16.0747
  1.781      -16.0747
  1.749      -16.0747
  1.718      -16.0748
  1.686      -16.0748
  1.655      -16.0748
  1.623      -16.0748
  1.592      -16.0749
  1.560      -16.0749
  1.529      -16.0749
  1.497      -16.0750
  1.466      -16.0750
  1.434      -16.0750
  1.403      -16.0750
  1.371      -16.0751
  1.340      -16.0751
  1.308      -16.0751
  1.277      -16.0751
  1.245      -16.0751
  1.214      -16.0751
  1.182      -16.0751
  1.182      -16.0751
  1.150      -16.0752
  1.117      -16.0752
  1.085      -16.0752
  1.052      -16.0752
  1.019      -16.0752
  0.987      -16.0753
  0.954      -16.0753
  0.921      -16.0754
  0.889      -16.0754
  0.856      -16.0755
  0.823      -16.0755
  0.791      -16.0755
  0.758      -16.0755
  0.725      -16.0756
  0.693      -16.0756
  0.693      -16.0756
  0.661      -16.0756
  0.630      -16.0756
  0.598      -16.0755
  0.567      -16.0755
  0.535      -16.0755
  0.504      -16.0754
  0.472      -16.0754
  0.441      -16.0753
  0.409      -16.0753
  0.378      -16.0752
  0.346      -16.0751
  0.315      -16.0751
  0.283      -16.0750
  0.252      -16.0750
  0.220      -16.0749
  0.189      -16.0749
  0.157      -16.0748
  0.126      -16.0748
  0.094      -16.0748
  0.063      -16.0747
  0.031      -16.0747
  0.000      -16.0747
#Band-index    7
  0.000      -11.4218
  0.031      -11.4206
  0.063      -11.4169
  0.094      -11.4108
  0.126      -11.4024
  0.157      -11.3918
  0.189      -11.3791
  0.220      -11.3646
  0.252      -11.3484
  0.283      -11.3308
  0.315      -11.3121
  0.346      -11.2927
  0.378      -11.2728
  0.409      -11.2529
  0.441      -11.2335
  0.472      -11.2149
  0.504      -11.1976
  0.535      -11.1820
  0.567      -11.1686
  0.598      -11.1578
  0.630      -11.1498
  0.661      -11.1448
  0.693      -11.1432
  0.693      -11.1432
  0.725      -11.1438
  0.758      -11.1457
  0.791      -11.1487
  0.823      -11.1527
  0.856      -11.1574
  0.889      -11.1627
  0.921      -11.1684
  0.954      -11.1740
  0.987      -11.1795
  1.019      -11.1846
  1.052      -11.1890
  1.085      -11.1926
  1.117      -11.1953
  1.150      -11.1970
  1.182      -11.1976
  1.182      -11.1976
  1.214      -11.2082
  1.245      -11.2298
  1.277      -11.2548
  1.308      -11.2811
  1.340      -11.3081
  1.371      -11.3354
  1.403      -11.3626
  1.434      -11.3894
  1.466      -11.4156
  1.497      -11.4409
  1.529      -11.4651
  1.560      -11.4879
  1.592      -11.5092
  1.623      -11.5287
  1.655      -11.5464
  1.686      -11.5620
  1.718      -11.5753
  1.749      -11.5865
  1.781      -11.5952
  1.812      -11.6015
  1.844      -11.6053
  1.875      -11.6065
  1.875      -11.6065
  1.907      -11.6053
  1.938      -11.6015
  1.969      -11.5952
  2.001      -11.5865
  2.032      -11.5754
  2.064      -11.5620
  2.095      -11.5463
  2.126      -11.5286
  2.158      -11.5089
  2.189      -11.4874
  2.221      -11.4643
  2.252      -11.4399
  2.284      -11.4143
  2.315      -11.3879
