 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.614      0.8174E+03      0.8174E+03      0.8174E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.617      0.8262E+03      0.8262E+03      0.8262E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.620      0.8357E+03      0.8357E+03      0.8357E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.624      0.8453E+03      0.8453E+03      0.8453E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.627      0.8551E+03      0.8551E+03      0.8551E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.630      0.8639E+03      0.8639E+03      0.8639E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.633      0.8737E+03      0.8737E+03      0.8737E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.637      0.8836E+03      0.8836E+03      0.8836E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.640      0.8935E+03      0.8935E+03      0.8935E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.643      0.9025E+03      0.9025E+03      0.9025E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.647      0.9126E+03      0.9126E+03      0.9126E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.650      0.9226E+03      0.9226E+03      0.9226E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.654      0.9328E+03      0.9328E+03      0.9328E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.657      0.9429E+03      0.9429E+03      0.9429E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.660      0.9531E+03      0.9531E+03      0.9531E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.664      0.9625E+03      0.9625E+03      0.9625E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.667      0.9728E+03      0.9728E+03      0.9728E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.670      0.9831E+03      0.9831E+03      0.9831E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.674      0.9937E+03      0.9937E+03      0.9937E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.677      0.1004E+04      0.1004E+04      0.1004E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.680      0.1015E+04      0.1015E+04      0.1015E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.684      0.1025E+04      0.1025E+04      0.1025E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.687      0.1036E+04      0.1036E+04      0.1036E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.690      0.1046E+04      0.1046E+04      0.1046E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.694      0.1057E+04      0.1057E+04      0.1057E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.697      0.1068E+04      0.1068E+04      0.1068E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.700      0.1079E+04      0.1079E+04      0.1079E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.704      0.1090E+04      0.1090E+04      0.1090E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.707      0.1101E+04      0.1101E+04      0.1101E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.710      0.1112E+04      0.1112E+04      0.1112E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.714      0.1123E+04      0.1123E+04      0.1123E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.717      0.1134E+04      0.1134E+04      0.1134E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.720      0.1145E+04      0.1145E+04      0.1145E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.724      0.1156E+04      0.1156E+04      0.1156E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.727      0.1168E+04      0.1168E+04      0.1168E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.730      0.1179E+04      0.1179E+04      0.1179E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.734      0.1190E+04      0.1190E+04      0.1190E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.737      0.1202E+04      0.1202E+04      0.1202E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.740      0.1213E+04      0.1213E+04      0.1213E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.744      0.1225E+04      0.1225E+04      0.1225E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.747      0.1237E+04      0.1237E+04      0.1237E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.750      0.1249E+04      0.1249E+04      0.1249E+04      0.0000E+00      0.0000E+00      0.0000E+00
