  #energy          xx             yy              zz              xy              yz              zx
   0.747      0.1634E-01      0.1634E-01      0.1634E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.750      0.1642E-01      0.1642E-01      0.1642E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.754      0.1650E-01      0.1650E-01      0.1650E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.757      0.1658E-01      0.1658E-01      0.1658E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.760      0.1666E-01      0.1666E-01      0.1666E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.764      0.1674E-01      0.1674E-01      0.1674E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.767      0.1684E-01      0.1684E-01      0.1684E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.770      0.1692E-01      0.1692E-01      0.1692E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.774      0.1700E-01      0.1700E-01      0.1700E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.777      0.1708E-01      0.1708E-01      0.1708E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.780      0.1717E-01      0.1717E-01      0.1717E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.784      0.1725E-01      0.1725E-01      0.1725E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.787      0.1733E-01      0.1733E-01      0.1733E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.790      0.1743E-01      0.1743E-01      0.1743E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.794      0.1751E-01      0.1751E-01      0.1751E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.797      0.1758E-01      0.1758E-01      0.1758E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.800      0.1768E-01      0.1768E-01      0.1768E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.804      0.1776E-01      0.1776E-01      0.1776E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.807      0.1784E-01      0.1784E-01      0.1784E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.810      0.1793E-01      0.1793E-01      0.1793E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.814      0.1801E-01      0.1801E-01      0.1801E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.817      0.1810E-01      0.1810E-01      0.1810E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.820      0.1818E-01      0.1818E-01      0.1818E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.824      0.1828E-01      0.1828E-01      0.1828E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.827      0.1836E-01      0.1836E-01      0.1836E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.830      0.1845E-01      0.1845E-01      0.1845E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.834      0.1853E-01      0.1853E-01      0.1853E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.837      0.1862E-01      0.1862E-01      0.1862E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.840      0.1870E-01      0.1870E-01      0.1870E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.844      0.1879E-01      0.1879E-01      0.1879E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.847      0.1887E-01      0.1887E-01      0.1887E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.850      0.1897E-01      0.1897E-01      0.1897E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.854      0.1904E-01      0.1904E-01      0.1904E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.857      0.1914E-01      0.1914E-01      0.1914E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.860      0.1923E-01      0.1923E-01      0.1923E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.864      0.1931E-01      0.1931E-01      0.1931E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.867      0.1940E-01      0.1940E-01      0.1940E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.870      0.1949E-01      0.1949E-01      0.1949E-01      0.0000E+00      0.0000E+00      0.0000E+00
