  #energy          xx             yy              zz              xy              yz              zx
   0.370      0.3359E-03      0.3359E-03      0.3359E-03             NaN             NaN             NaN
   0.373      0.3394E-03      0.3394E-03      0.3394E-03             NaN             NaN             NaN
   0.377      0.3424E-03      0.3424E-03      0.3424E-03             NaN             NaN             NaN
   0.380      0.3453E-03      0.3453E-03      0.3453E-03             NaN             NaN             NaN
   0.384      0.3482E-03      0.3482E-03      0.3482E-03             NaN             NaN             NaN
   0.387      0.3512E-03      0.3512E-03      0.3512E-03             NaN             NaN             NaN
   0.390      0.3547E-03      0.3547E-03      0.3547E-03             NaN             NaN             NaN
   0.394      0.3576E-03      0.3576E-03      0.3576E-03             NaN             NaN             NaN
   0.397      0.3606E-03      0.3606E-03      0.3606E-03             NaN             NaN             NaN
   0.400      0.3635E-03      0.3635E-03      0.3635E-03             NaN             NaN             NaN
   0.404      0.3664E-03      0.3664E-03      0.3664E-03             NaN             NaN             NaN
   0.407      0.3699E-03      0.3699E-03      0.3699E-03             NaN             NaN             NaN
   0.410      0.3728E-03      0.3728E-03      0.3728E-03             NaN             NaN             NaN
   0.413      0.3757E-03      0.3757E-03      0.3757E-03             NaN             NaN             NaN
   0.417      0.3787E-03      0.3787E-03      0.3787E-03             NaN             NaN             NaN
   0.420      0.3822E-03      0.3822E-03      0.3822E-03             NaN             NaN             NaN
   0.423      0.3851E-03      0.3851E-03      0.3851E-03             NaN             NaN             NaN
   0.427      0.3880E-03      0.3880E-03      0.3880E-03             NaN             NaN             NaN
   0.430      0.3909E-03      0.3909E-03      0.3909E-03             NaN             NaN             NaN
   0.433      0.3944E-03      0.3944E-03      0.3944E-03             NaN             NaN             NaN
   0.437      0.3972E-03      0.3972E-03      0.3972E-03             NaN             NaN             NaN
   0.440      0.4001E-03      0.4001E-03      0.4001E-03             NaN             NaN             NaN
   0.444      0.4036E-03      0.4036E-03      0.4036E-03             NaN             NaN             NaN
   0.447      0.4065E-03      0.4065E-03      0.4065E-03             NaN             NaN             NaN
   0.450      0.4094E-03      0.4094E-03      0.4094E-03             NaN             NaN             NaN
   0.454      0.4129E-03      0.4129E-03      0.4129E-03             NaN             NaN             NaN
   0.457      0.4157E-03      0.4157E-03      0.4157E-03             NaN             NaN             NaN
   0.460      0.4186E-03      0.4186E-03      0.4186E-03             NaN             NaN             NaN
   0.464      0.4221E-03      0.4221E-03      0.4221E-03             NaN             NaN             NaN
   0.467      0.4249E-03      0.4249E-03      0.4249E-03             NaN             NaN             NaN
   0.470      0.4278E-03      0.4278E-03      0.4278E-03             NaN             NaN             NaN
   0.473      0.4312E-03      0.4312E-03      0.4312E-03             NaN             NaN             NaN
   0.477      0.4341E-03      0.4341E-03      0.4341E-03             NaN             NaN             NaN
   0.480      0.4369E-03      0.4369E-03      0.4369E-03             NaN             NaN             NaN
   0.483      0.4404E-03      0.4404E-03      0.4404E-03             NaN             NaN             NaN
   0.487      0.4432E-03      0.4432E-03      0.4432E-03             NaN             NaN             NaN
   0.490      0.4461E-03      0.4461E-03      0.4461E-03             NaN             NaN             NaN
   0.493      0.4495E-03      0.4495E-03      0.4495E-03             NaN             NaN             NaN
   0.497      0.4523E-03      0.4523E-03      0.4523E-03             NaN             NaN             NaN
   0.500      0.4557E-03      0.4557E-03      0.4557E-03             NaN             NaN             NaN
   0.503      0.4586E-03      0.4586E-03      0.4586E-03             NaN             NaN             NaN
   0.507      0.4620E-03      0.4620E-03      0.4620E-03             NaN             NaN             NaN
   0.510      0.4648E-03      0.4648E-03      0.4648E-03             NaN             NaN             NaN
   0.513      0.4676E-03      0.4676E-03      0.4676E-03             NaN             NaN             NaN
   0.517      0.4710E-03      0.4710E-03      0.4710E-03             NaN             NaN             NaN
   0.520      0.4738E-03      0.4738E-03      0.4738E-03             NaN             NaN             NaN
   0.523      0.4772E-03      0.4772E-03      0.4772E-03             NaN             NaN             NaN
   0.527      0.4800E-03      0.4800E-03      0.4800E-03             NaN             NaN             NaN
   0.530      0.4834E-03      0.4834E-03      0.4834E-03             NaN             NaN             NaN
   0.533      0.4862E-03      0.4862E-03      0.4862E-03             NaN             NaN             NaN
   0.537      0.4896E-03      0.4896E-03      0.4896E-03             NaN             NaN             NaN
   0.540      0.4924E-03      0.4924E-03      0.4924E-03             NaN             NaN             NaN
   0.543      0.4957E-03      0.4957E-03      0.4957E-03             NaN             NaN             NaN
   0.547      0.4985E-03      0.4985E-03      0.4985E-03             NaN             NaN             NaN
   0.550      0.5019E-03      0.5019E-03      0.5019E-03             NaN             NaN             NaN
   0.553      0.5046E-03      0.5046E-03      0.5046E-03             NaN             NaN             NaN
   0.557      0.5080E-03      0.5080E-03      0.5080E-03             NaN             NaN             NaN
   0.560      0.5107E-03      0.5107E-03      0.5107E-03             NaN             NaN             NaN
